RowID,OrderID,OrderDate,ShipMode,CustomerID,CustomerName,Segment,City,State,Country,Region,ProductID,Category,Sub-Category,Sales,Quantity,Discount,Profit,Returned
1,IN-2021-47883,2021-01-01,Standard Class,JH-15985,Joseph Holt,Consumer,Wagga Wagga,New South Wales,Australia,Oceania,OFF-SU-10000618,Office Supplies,Supplies,120.366,3,0.1,36.036,No
2,IN-2021-47883,2021-01-01,Standard Class,JH-15985,Joseph Holt,Consumer,Wagga Wagga,New South Wales,Australia,Oceania,OFF-PA-10001968,Office Supplies,Paper,55.242,2,0.1,15.342,No
3,IN-2021-47883,2021-01-01,Standard Class,JH-15985,Joseph Holt,Consumer,Wagga Wagga,New South Wales,Australia,Oceania,FUR-FU-10003447,Furniture,Furnishings,113.67,5,0.1,37.77,No
4,IN-2021-79397,2021-01-03,Same Day,KN-16450,Kean Nguyen,Corporate,Sydney,New South Wales,Australia,Oceania,OFF-LA-10003396,Office Supplies,Labels,35.883,3,0.1,4.743,No
5,IN-2021-79397,2021-01-03,Same Day,KN-16450,Kean Nguyen,Corporate,Sydney,New South Wales,Australia,Oceania,OFF-AP-10000304,Office Supplies,Appliances,276.102,1,0.1,110.412,No
6,ID-2021-12596,2021-01-03,Standard Class,CM-12235,Chris McAfee,Consumer,Nakhon Ratchasima,Nakhon Ratchasima,Thailand,Southeast Asia,OFF-ST-10002066,Office Supplies,Storage,135.1182,2,0.47,-45.9018,No
7,IN-2021-33652,2021-01-03,Standard Class,DP-13390,Dennis Pardue,Home Office,Kuching,Sarawak,Malaysia,Southeast Asia,TEC-CO-10000594,Technology,Copiers,192.87,1,0,50.13,No
8,IN-2021-65159,2021-01-03,Second Class,LB-16735,Larry Blacks,Consumer,Manila,Metro Manila,Philippines,Southeast Asia,OFF-FA-10002569,Office Supplies,Fasteners,6.006,1,0.45,0.546,No
9,IN-2021-65159,2021-01-03,Second Class,LB-16735,Larry Blacks,Consumer,Manila,Metro Manila,Philippines,Southeast Asia,FUR-TA-10002797,Furniture,Tables,211.1805,1,0.55,-70.3995,No
10,IN-2021-65159,2021-01-03,Second Class,LB-16735,Larry Blacks,Consumer,Manila,Metro Manila,Philippines,Southeast Asia,OFF-ST-10003020,Office Supplies,Storage,337.6395,3,0.45,-122.8005,No
